Name,x (pix),y (pix),X (m),Y (m),Orientation,URL,Redirect URL,Notes
RightPillarStair5N,3202,335,105.0256,36.244,N,http://bit.ly/1q4gW4G,,
LeftPillarStair5W,2902,345,95.1856,35.916,W,http://bit.ly/1q4gW4L,,
LeftPillarStair5N,2908,336,95.3824,36.2112,N,http://bit.ly/1qkCYm6,,
Stair3968,468,1008,15.3504,14.1696,N,http://bit.ly/1q4gXFQ,,
ShortHallETopMid,2232,474,73.2096,31.6848,E,http://bit.ly/1q4gW4J,,
ShortHallWTopMid,2288,474,75.0464,31.6848,W,http://bit.ly/1q4gXFS,,
TechArea3450WBottom,2288,940,75.0464,16.4,W,http://bit.ly/1q4gW4S,,
ShortHallELowerMid,2232,795,73.2096,21.156,E,http://bit.ly/1qkCYm5,,
ShortHallWLowerMid,2288,832,75.0464,19.9424,W,http://bit.ly/1q4gXFP,,
Class3455RightMid,2231,1014,73.1768,13.9728,N,http://bit.ly/1q4gXFM,,
TechArea3450SMid,2437,948,79.9336,16.1376,S,http://bit.ly/1qkCYm4,,
Class3445NMid,2437,1014,79.9336,13.9728,N,http://bit.ly/1q4gW4Q,,
DSL3600SMid,2137,941,70.0936,16.3672,S,http://bit.ly/1q4gW4H,,
ICL5Mid6,1540,947,50.512,16.1704,S,http://bit.ly/1q4gW4F,,
