Name,x (pix),y (pix),X (m),Y (m),Orientation,URL,Redirect URL,Notes
Office3525,1671,263,54.8088,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3525,http://www.cs.rit.edu/~atd,
Office3521,1756,263,57.5968,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3521,http://www.cs.rit.edu/~lr,
Office3519,1842,263,60.4176,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3519,http://www.cs.rit.edu/~cmh,
Office3517,1925,263,63.14,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3517,http://www.cs.rit.edu/~rjb,
Office3515,2011,263,65.9608,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3515,http://www.cs.rit.edu/~jeh,
Office3511,2095,263,68.716,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3511,http://www.cs.rit.edu/~paw,
Office3509,2167,263,71.0776,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3509,http://www.cs.rit.edu/~anh,
RNDLab,2647,327,86.8216,36.5064,N,http://www.cs.rit.edu/~robotlab/RNDLab,http://www.cs.rit.edu/~robotlab,
HonorsLab,,,0,47.232,,http://www.cs.rit.edu/~robotlab/HonorsLab,http://honors.rit.edu,
ICL1,1367,349,44.8376,35.7848,N,http://www.cs.rit.edu/~robotlab/ICL1,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
ICL2,1706,349,55.9568,35.7848,N,http://www.cs.rit.edu/~robotlab/ICL2,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
ICL3,870,930,28.536,16.728,S,http://www.cs.rit.edu/~robotlab/ICL3,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
ICL4,1207,930,39.5896,16.728,S,http://www.cs.rit.edu/~robotlab/ICL4,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
ICL5,1368,930,44.8704,16.728,S,http://www.cs.rit.edu/~robotlab/ICL5,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
